id,video,vote_count,vote_average,title,release_date,original_language,original_title,genre_ids/0,backdrop_path,adult,overview,poster_path,popularity,id_imdb,genre_ids/1,genre_ids/2,genre_ids/3,genre_ids/4,genre_ids/5,genre_ids/6
701264,false,0,0,Love Lockdown,2020-05-15,tl,Love Lockdown,53,,false,"A triptych of interconnected tales of love, lust, and betrayal. Can they escape from their shattered fates as they get entangled in a web of lies?",/fSpsnaYZydcpBwMDkgpWRhwlNC.jpg,5.379,tt12275096,10749,,,,,
615684,false,0,0,L'Origine du monde,2020-11-11,fr,L'Origine du monde,35,,false,,/ocMN3Wyr54IGoNnimFrc62wOj78.jpg,1.4,tt10551904,18,,,,,
669727,false,2,5.5,Locos de Amor 3,2020-02-13,es,Locos de Amor 3,35,/nFDELKiNYAbBFWkdMHxsUYEUTAo.jpg,false,"This third installment will tell three stories, three inseparable friends, and three reasons to sing and laugh.",/aMDKM4apcN2ZgrIbymFacJJzbbB.jpg,1.569,tt11759906,,,,,,
610203,false,0,0,Loop,2019-11-27,pt,Loop,18,,false,"After his girlfriend's murder, Daniel, a physics student becomes obsessed with the idea of going back in time to stop the tragedy. He lets himself be consumed by his own obsession until after years of isolation, he finds the solution. Daniel then gives up his future and returns to the past. However, he is not the same man.",/zGFkJT5CHuCLy35G4aC5u56b2wh.jpg,0.962,tt8241138,878,,,,,
680338,false,0,0,Love FM,2020-02-28,ml,ലൗ FM,35,/uQa48Us6E8egXFCEButR01XpDvI.jpg,false,Love FM revolves around a radio that plays a crucial role in the love story. It is a romantic movie where it touches upon the love stories of two generations.,/uHQS8BimFdJRjpxhqvvRWNFnFwX.jpg,1.4,tt11281098,18,,,,,
635012,false,0,0,Long Weekend,,en,Long Weekend,10749,,false,"A down-on-his-luck struggling writer, meets an enigmatic woman who enters his life at the right time.",,0.6,tt11020728,,,,,,
678478,false,0,0,Love-40,,en,Love-40,,,false,"Beek, a 22 year-old statistics wiz, believes his Moneyball-esque skills can help rising tennis star Lois Kuzenkova win the U.S. Open.",,0.6,tt11166512,,,,,,
648365,false,0,0,Love Stage!,2020-06-05,ja,Love Stage!,35,,false,"With a mother and father that are actors, and a rockstar brother, anyone would expect Sena Izumi to eventually enter showbiz himself. However, aside from a commercial for a wedding magazine when he was a child, Izumi has never been in the spotlight; instead, he aims to become a manga artist.  But a decade after the shoot, the magazine calls for a 10th anniversary ad, requesting the original child actors for the project. This reunites Izumi with Ryouma Ichijou, now a popular actor who, much to Izumi's shock, has been in love with him ever since their first meeting! However, due to Izumi's feminine appearance, and unisex name, Ryouma believed the boy to be a girl and continues to do so to this day. Izumi's troubles are only just beginning.  Based on the hit comedy romance manga Love Stage!! It began serialization in the July 2010. Seven tankōbon volumes was published from May 27, 2011 to November 1, 2016. An anime television series adaptation produced by J.C.Staff aired in 2014.",,0.6,tt10702938,18,10749,,,,
702701,false,0,0,Love at Look Lodge,,en,Love at Look Lodge,10749,,false,"Noah (Jonathan Keltz), a workaholic, has plans for a weeklong vacation at a remote lodge leading up to his sister Justine’s (Kathryn Kohut) wedding. Noah and his sister have grown apart over the years, and Justine is hoping to reconnect with her brother over the week. With tremendous help from the hotel’s activities coordinator, Lily (Clark Backo), Noah opens up to his sister and welcomes his new brother-in-law Craig (Chris Violette) into the family. As Noah starts to discover what is really important in life, he also falls in love with Lily.",/s4zuRXbsxBXb6FjQ8AVeYgTgJX5.jpg,0.6,tt11212172,,,,,,
343249,false,0,0,Low Budget Ethnic Movie,,en,Low Budget Ethnic Movie,18,,false,"An odd and intense middle aged Korean American man flirts with the idea of suicide because he believes he's failed his immigrant parents. He's disturbed by his increasingly vivid hallucinations of what his life could have been. So he pursues spirituality to calm himself, and in the process encounters others who are struggling in their own ways.",,0.6,tt3846472,35,,,,,
